month,bidding_no,vehicle_class,premium
2014-12,1,Auto,4210
2014-12,1,Other,76904
2014-12,2,Real Estate,65889
2014-12,2,Commercial,74000
2014-12,2,Unsecured,52100
2014-12,2,Auto,4312
2014-12,2,Other,73990
2015-01,1,Real Estate,66010
2015-01,1,Commercial,75289
2015-01,1,Unsecured,55011
2015-01,1,Auto,4403
2015-01,1,Other,75200
2015-01,2,Real Estate,65001
2015-01,2,Commercial,76889
2015-01,2,Unsecured,55012
2015-01,2,Auto,4889
2015-01,2,Other,76790
2015-02,1,Real Estate,62002
2015-02,1,Commercial,70890
2015-02,1,Unsecured,52101
2015-02,1,Auto,5504
2015-02,1,Other,71921
2015-02,2,Real Estate,57199
2015-02,2,Commercial,66751
2015-02,2,Unsecured,53202
2015-02,2,Auto,5800
2015-02,2,Other,67901
2015-03,1,Real Estate,61410
2015-03,1,Commercial,68668
2015-03,1,Unsecured,56501
2015-03,1,Auto,5501
2015-03,1,Other,70500
2015-03,2,Real Estate,64700
2015-03,2,Commercial,71889
2015-03,2,Unsecured,59999
2015-03,2,Auto,5610
2015-03,2,Other,72100
2015-04,1,Real Estate,67749
2015-04,1,Commercial,76612
2015-04,1,Unsecured,64001
2015-04,1,Auto,6312
2015-04,1,Other,78000
2015-04,2,Real Estate,67601
2015-04,2,Commercial,78001
2015-04,2,Unsecured,53001
2015-04,2,Auto,6801
2015-04,2,Other,79500
2015-05,1,Real Estate,68589
2015-05,1,Commercial,77600
2015-05,1,Unsecured,50098
2015-05,1,Auto,6512
2015-05,1,Other,78004
2015-05,2,Real Estate,66590
2015-05,2,Commercial,75002
2015-05,2,Unsecured,52001
2015-05,2,Auto,6501
2015-05,2,Other,78001
2015-06,1,Real Estate,66000
2015-06,1,Commercial,75000
2015-06,1,Unsecured,50900
2015-06,1,Auto,6509
2015-06,1,Other,75801
2015-06,2,Real Estate,61000
2015-06,2,Commercial,71509
2015-06,2,Unsecured,50502
2015-06,2,Auto,6401
2015-06,2,Other,74501
2015-07,1,Real Estate,58700
2015-07,1,Commercial,65501
2015-07,1,Unsecured,50001
2015-07,1,Auto,6508
2015-07,1,Other,69001
2015-07,2,Real Estate,55889
2015-07,2,Commercial,58109
2015-07,2,Unsecured,50002
2015-07,2,Auto,6312
2015-07,2,Other,60101
2015-08,1,Real Estate,56209
2015-08,1,Commercial,60789
2015-08,1,Unsecured,49302
2015-08,1,Auto,6201
2015-08,1,Other,57885
2015-08,2,Real Estate,57498
2015-08,2,Commercial,62140
2015-08,2,Unsecured,46501
2015-08,2,Auto,6112
2015-08,2,Other,61001
2015-09,1,Real Estate,57089
2015-09,1,Commercial,62101
2015-09,1,Unsecured,46801
2015-09,1,Auto,6512
2015-09,1,Other,61010
2015-09,2,Real Estate,55399
2015-09,2,Commercial,60001
2015-09,2,Unsecured,45289
2015-09,2,Auto,6158
2015-09,2,Other,61300
2015-10,1,Real Estate,56001
2015-10,1,Commercial,58190
2015-10,1,Unsecured,44890
2015-10,1,Auto,6201
2015-10,1,Other,58801
2015-10,2,Real Estate,57301
2015-10,2,Commercial,59889
2015-10,2,Unsecured,42303
2015-10,2,Auto,6302
2015-10,2,Other,60000
2015-11,1,Real Estate,56001
2015-11,1,Commercial,57501
2015-11,1,Unsecured,43809
2015-11,1,Auto,5912
2015-11,1,Other,60689
2015-11,2,Real Estate,59200
2015-11,2,Commercial,61103
2015-11,2,Unsecured,45890
2015-11,2,Auto,6502
2015-11,2,Other,62019
